id,name,type,email,phone,website_url,street_address,city,region,postal_code,country_code
trn:seller:il-trenaio,Il Trenaio,SHOP,,+39 055 486121,,Via de' Ginori 34/r,Firenze,FI,50123,IT
trn:seller:isacco-sas,Isacco SAS,SHOP,,+39 011 8178485,,"C.so V. Emanuele, 36",Torino,,10123,IT
trn:seller:la-borsa-del-treno,La Borsa del Treno,SHOP,,+39 02 6688331,https://www.laborsadeltreno.com,Via Taormina 30,Milano,MI,20159,IT
trn:seller:la-littorina,La Littorina,SHOP,,+39 329 6268039,https://www.littorina.it,"Via della Sortita, 9",Marghera,VE,30175,IT
trn:seller:minimondo,Minimondo,SHOP,,+39 0424 848246,https://www.minimondo2002.com,Via Salute 141,Rossano Veneto,VI,36028,IT
trn:seller:model-center,Model Center,SHOP,,+39 089 2852156,http://www.model-center.net,Via Trinità 55-57,Baronissi,SA,84081,IT
trn:seller:modellbahnshop-lippe,Modellbahnshop-Lippe,SHOP,,+49 5231 980330,https://www.modellbahnshop-lippe.com,Leonardo-da-Vinci-Weg 6-8,Detmold,,32760,DE
trn:seller:modellismo-uliano,Modellismo ULIANO,SHOP,,+39 081 470016,https://www.modellismouliano.com,"Viale delle Magnolie, 6",Portici,NA,80055,IT
trn:seller:modelsales,Modelsales,SHOP,,,,Corso Libertà 78/A,Cesano Maderno,,20811,IT
trn:seller:navitren,Navitren,SHOP,,+39 02 70126436,https://www.navitren.it,Via Giovanni da Milano 2,Milano,MI,20133,IT
trn:seller:nvbs-winkel,NVBS Winkel,SHOP,,+31 (0) 33 4621890,,"Stationsplein, 45-47",Amersfoort,,NL-3818 LE,NL
trn:seller:paradiso-dei-bimbi,Paradiso dei Bimbi,SHOP,,+39 0165 262460,https://www.paradisodeibimbiaosta.com,"Via Croix de Ville, 55",Aosta,,11100,IT
trn:seller:passaggi-a-livello,Passaggi a livello,SHOP,,+39 388 3883257,https://www.passaggialivello.it,"Via Martin Luther King, 35",Fermignano,PU,61033,IT
trn:seller:pirata-models,Pirata Models,SHOP,,+39 351 9494922,https://www.piratamodels.it,"Via Monico, 9 - Palazzina 2",Lonato del Garda,BS,25017,IT
trn:seller:private-seller,Private Seller,PRIVATE,,,,,,,,
trn:seller:rail-ship,Rail Ship,SHOP,,+39 02 48703179,https://www.railship.it,"Via Vodice, 9",Milano,MI,20148,IT
trn:seller:salentorailroad,SalentoRailroad,SHOP,,+39 327 0440319,https://www.salentorailroad.it,"Via Piave, 8",Parabita,LE,73053,IT
trn:seller:sinwel-buchhandlung,Sinwel Buchhandlung,SHOP,,+41 31 332 52 05,https://www.sinwel.ch,"Lorrainestrasse, 10",Bern,,CH-3013,CH
trn:seller:stenvalls,Stenvalls,SHOP,,+46 (0) 40 127703,https://www.stenvalls.com,"Föreningsgatan, 12",Malmö,,S-21144,SE
trn:seller:tecnomodel,Tecnomodel,SHOP,,+39 0586 407 558,https://www.tecnomodel-treni.it,"Via Pian di Rota, 25/1",Livorno,,57121,IT
trn:seller:treni-treni,Treni & Treni,SHOP,,+39 0584 963119,https://www.trenietreni.it,Via Antonio Fratti 618,Viareggio,LU,55049,IT
trn:seller:trenidea,Trenidea,SHOP,,+39 010 2512988,,"Via Vallechiara, 15/r",Genova,,16125,IT
trn:seller:treno-gheno,Treno Gheno,SHOP,,+39 348 4431933,https://www.trenogheno.com,"V.le Pordenone, 6",Portogruaro,VE,30025,IT
trn:seller:verona-train,Verona Train,SHOP,,+39 333 2678739,https://www.veronatrain.it,"Via San Francesco, 9",Lugagnano di Sona,,37060,IT
