id,name,registered_company_name,status,country_code,website_url
trn:manufacturer:fleischmann,Fleischmann,Modelleisenbahn München GmbH,ACTIVE,DE,https://www.fleischmann.de
trn:manufacturer:hag,hag,HAG Modelleisenbahnen GmbH,ACTIVE,CH,https://www.hag.ch
trn:manufacturer:heljan,Heljan,Heljan A/S,ACTIVE,DK,https://www.heljan.dk
trn:manufacturer:hornby-railways,Hornby Railways,Hornby Hobbies Ltd,ACTIVE,GB,https://www.hornby.com
trn:manufacturer:igra-models,igra models,Igra Model s.r.o.,ACTIVE,CZ,https://igramodel.cz
trn:manufacturer:intermountain-railway-co,InterMountain Railway Co.,InterMountain Railway Company,ACTIVE,US,https://www.intermountain-railway.com
trn:manufacturer:jaegerndorfer,Jaegerndorfer,Jägerndorfer Ges.m.b.H.,ACTIVE,AT,https://www.jaegerndorfer.at
trn:manufacturer:jouef,Jouef,Jouef SAS,ACTIVE,FR,https://www.jouef.com
trn:manufacturer:kadee-quality-products,Kadee Quality Products,Kadee Quality Products Co.,ACTIVE,US,https://www.kadee.com
trn:manufacturer:kato-precision-railroad-models,Kato Precision Railroad Models,Seki-Sui Kinzoku Co. Ltd,ACTIVE,JP,https://www.katomodels.com
trn:manufacturer:lematec,Lematec,Lematec Prestige Models SA,ACTIVE,CH,https://www.lematec.ch
trn:manufacturer:lenz,Lenz,Lenz Elektronik GmbH,ACTIVE,DE,https://www.lenz-elektronik.de
trn:manufacturer:lgb,LGB,Gebr. Märklin & Cie. GmbH,ACTIVE,DE,https://www.lgb.de
trn:manufacturer:liliput,Liliput,Bachmann Europe Plc,ACTIVE,DE,https://www.liliput.de
trn:manufacturer:lionel,Lionel,Lionel LLC,ACTIVE,US,https://www.lionel.com
trn:manufacturer:ls-models,LS Models,LS Models Sprl,ACTIVE,BE,https://www.lsmodels.com
trn:manufacturer:marklin,Märklin,Gebr. Märklin & Cie. GmbH,ACTIVE,DE,https://www.maerklin.de
trn:manufacturer:micro-ace,Micro Ace,Micro Ace Co. Ltd,ACTIVE,JP,https://www.microace-arii.co.jp
trn:manufacturer:mtb,mtb,mtb-model s.r.o.,ACTIVE,CZ,https://mtb-model.com
trn:manufacturer:mth-electric-trains,MTH Electric Trains,MTH Electric Trains,ACTIVE,US,https://www.mthtrains.com
trn:manufacturer:nme,nme,NME Nürnberger Modell-Eisenbahnen GmbH,ACTIVE,DE,https://www.nme-online.de
trn:manufacturer:oskar,Os.Kar,Os.kar S.r.l.,ACTIVE,IT,https://www.oskartrains.eu
trn:manufacturer:peco,Peco,Pritchard Patent Product Co. Ltd,ACTIVE,GB,https://peco-uk.com
trn:manufacturer:piko,Piko,PIKO Spielwaren GmbH,ACTIVE,DE,https://www.piko.de
trn:manufacturer:rapido-trains,Rapido Trains,Rapido Trains Inc.,ACTIVE,CA,https://rapidotrains.com
trn:manufacturer:ree-modeles,REE Modeles,Rails Europ Express,ACTIVE,FR,https://www.ree-modeles.com
trn:manufacturer:revolution-trains,Revolution Trains,Revolution Trains Ltd,ACTIVE,GB,https://www.revolutiontrains.com
trn:manufacturer:rivarossi,Rivarossi,Rivarossi S.p.A.,ACTIVE,IT,https://www.rivarossi.com
trn:manufacturer:roco,Roco,Modelleisenbahn München GmbH,ACTIVE,AT,https://www.roco.cc
trn:manufacturer:rokuhan,Rokuhan,Toytec Co. Ltd,ACTIVE,JP,https://www.rokuhan.com
trn:manufacturer:scaletrains,ScaleTrains,ScaleTrains.com Inc.,ACTIVE,US,https://www.scaletrains.com
trn:manufacturer:sudexpress,Sudexpress,Ginger SAS,ACTIVE,FR,https://www.sudexpress.com
trn:manufacturer:tillig,Tillig,TILLIG Modellbahnen GmbH & Co. KG,ACTIVE,DE,https://www.tillig.com
trn:manufacturer:tomix,Tomix,Tomytec Co. Ltd,ACTIVE,JP,https://www.tomytec.co.jp
trn:manufacturer:trix,Trix,Gebr. Märklin & Cie. GmbH,ACTIVE,DE,https://www.trix.de
trn:manufacturer:viessmann,Viessmann,Viessmann Modelltechnik GmbH,ACTIVE,DE,https://viessmann-modell.com
trn:manufacturer:vitrains,ViTrains,ViTrains S.r.l.,ACTIVE,IT,https://www.vitrains.it
trn:manufacturer:walthers,Walthers,Wm. K. Walthers Inc.,ACTIVE,US,https://www.walthers.com
